bodyType,brand,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,price
внедорожник 5 дв.,NISSAN,серый,дизель,2007,5,2011,автоматическая,2.0 LTR,150 N12,849000
седан,TOYOTA,чёрный,бензин,2020,4,2021,автоматическая,2.5 LTR,200 N12,3249000
хэтчбек 5 дв.,RENAULT,серый,дизель,2008,5,2009,механическая,1.5 LTR,86 N12,565000
седан,MERCEDES,чёрный,бензин,2009,4,2010,автоматическая,3.5 LTR,272 N12,1050000
седан,RENAULT,бежевый,бензин,2018,4,2020,механическая,1.6 LTR,113 N12,1100000
внедорожник 5 дв.,BMW,зелёный,бензин,2019,5,2020,автоматическая,4.4 LTR,625 N12,11990000
внедорожник 5 дв.,TOYOTA,чёрный,дизель,2015,5,2018,автоматическая,2.2 LTR,150 N12,2439000
внедорожник 5 дв.,KIA,чёрный,дизель,2017,5,2018,автоматическая,2.2 LTR,200 N12,2720000
внедорожник 5 дв.,NISSAN,красный,бензин,2010,5,2013,вариатор,2.0 LTR,141 N12,1130000
седан,BMW,синий,дизель,2018,4,2021,автоматическая,2.0 LTR,190 N12,4199000
универсал 5 дв.,VAZ,синий,бензин,2007,5,2011,механическая,1.6 LTR,98 N12,320000
хэтчбек 5 дв.,RENAULT,бежевый,бензин,2009,5,2011,механическая,1.4 LTR,75 N12,473000
внедорожник 5 дв.,BMW,бежевый,бензин,2010,5,2013,автоматическая,3.0 LTR,306 N12,1550000
хэтчбек 5 дв.,SKODA,зелёный,бензин,2007,5,2010,механическая,1.4 LTR,86 N12,500000
внедорожник 5 дв.,KIA,серебристый,дизель,2008,5,2014,автоматическая,3.0 LTR,250 N12,1599000
седан,CHEVROLET,серый,бензин,2002,4,2008,механическая,1.5 LTR,86 N12,190000
внедорожник 5 дв.,VOLVO,серый,бензин,2006,5,2012,автоматическая,2.5 LTR,210 N12,1650000
внедорожник 5 дв.,HYUNDAI,чёрный,бензин,2013,5,2013,автоматическая,2.0 LTR,150 N12,1145000
внедорожник 5 дв.,MERCEDES,коричневый,дизель,2009,5,2012,автоматическая,3.0 LTR,224 N12,1780000
внедорожник 5 дв.,BMW,чёрный,бензин,2019,5,2020,автоматическая,2.0 LTR,192 N12,2884000
внедорожник 5 дв.,TOYOTA,чёрный,бензин,2007,5,2007,автоматическая,4.0 LTR,249 N12,1455000
внедорожник 5 дв.,BMW,оранжевый,дизель,2012,5,2013,автоматическая,2.0 LTR,184 N12,1279000
внедорожник 5 дв.,CHERY,серебристый,бензин,2014,5,2014,вариатор,2.0 LTR,139 N12,885000
хэтчбек 5 дв.,KIA,серебристый,бензин,2018,5,2018,автоматическая,1.6 LTR,128 N12,1315000
пикап двойная кабина,VOLKSWAGEN,серебристый,дизель,2010,4,2014,автоматическая,2.0 LTR,180 N12,1556000
седан,VAZ,белый,бензин,2015,4,2021,механическая,1.6 LTR,106 N12,795900
внедорожник 5 дв.,FORD,белый,бензин,2012,5,2016,автоматическая,2.5 LTR,150 N12,1235000
седан,VAZ,зелёный,бензин,1997,4,2002,механическая,1.5 LTR,78 N12,80000
внедорожник 5 дв.,MERCEDES,чёрный,бензин,2008,5,2010,автоматическая,3.5 LTR,272 N12,1230000
внедорожник 5 дв.,BMW,чёрный,дизель,2014,5,2015,автоматическая,2.0 LTR,190 N12,1661000
внедорожник 5 дв.,MITSUBISHI,серебристый,бензин,2012,5,2013,вариатор,2.0 LTR,146 N12,1149000
